theta,alpha,beta,gamma,subject,recording,dominant_wave
4.7178360500985385e-12,3.630228841425251e-12,9.448748698920644e-13,1.2644198813551114e-13,eegmmidb,Subject20_2,theta
4.276395725398628e-11,2.8309426771218712e-11,8.354062005287125e-12,5.423668221115976e-13,eegmmidb,Subject21_1,theta
3.1324809817816565e-11,2.1936881468882806e-11,7.343051394385739e-12,4.88189236403658e-13,eegmmidb,Subject21_2,theta
2.956071930751759e-11,3.9534530632427816e-11,1.5064563997262448e-11,5.404830985794519e-13,eegmmidb,Subject22_1,alpha
2.3841569502841023e-11,3.767071762664196e-11,1.66839436542556e-11,5.984127976799107e-13,eegmmidb,Subject22_2,alpha
1.9513789587920635e-11,2.347820962142294e-11,5.9636637891644686e-12,5.552887281773363e-13,eegmmidb,Subject23_1,alpha
1.7200062329834078e-11,2.0784322045480948e-11,6.09327866995291e-12,6.189650978407422e-13,eegmmidb,Subject23_2,alpha
2.3657332532168072e-11,1.5587311362944968e-11,3.678854450335549e-12,1.0156657670381112e-13,eegmmidb,Subject24_1,theta
2.3254109943988568e-11,1.4076554290025552e-11,3.505166794782088e-12,1.511213829006894e-13,eegmmidb,Subject24_2,theta
3.586704810638634e-11,4.571038852087568e-11,1.8013121464181855e-11,1.989988287193445e-12,eegmmidb,Subject25_1,alpha
2.929574449114029e-11,5.0093923357535366e-11,2.06739003089e-11,1.988062960840104e-12,eegmmidb,Subject25_2,alpha
2.2606793225647152e-11,1.256971973547218e-11,6.536511428435081e-12,5.710760086179629e-13,eegmmidb,Subject26_1,theta
2.123793134373601e-11,1.1092971337546211e-11,8.41943379304443e-12,7.429227819560297e-13,eegmmidb,Subject26_2,theta
5.434303727478416e-11,3.54759749517987e-11,9.903978675911567e-12,6.236164145564999e-13,eegmmidb,Subject27_1,theta
6.176289648054669e-11,3.945875135937346e-11,1.1381861515809551e-11,7.593814404323287e-13,eegmmidb,Subject27_2,theta
1.1300933997842788e-11,1.1124016978790567e-11,2.5462111501653838e-12,1.6406792922391946e-13,eegmmidb,Subject28_1,theta
9.097960802262452e-12,8.014710052597791e-12,2.737392376661805e-12,2.0168592176710727e-13,eegmmidb,Subject28_2,theta
2.8204465476496587e-11,2.8841179131770485e-11,8.674551587765716e-12,1.4185820874061336e-12,eegmmidb,Subject29_1,alpha
2.988864685145656e-11,2.8132631098468088e-11,9.607597522427546e-12,2.1872857221749484e-12,eegmmidb,Subject29_2,theta
2.952353284736633e-11,2.0966783124416605e-11,9.281457642448404e-12,7.507450591890004e-13,eegmmidb,Subject30_1,theta
3.1942479642560444e-11,1.860447662077166e-11,9.543032662851168e-12,7.818696661057646e-13,eegmmidb,Subject30_2,theta
2.1694991071810603e-11,1.2436844332429209e-11,2.866104372644208e-12,1.3695150594611096e-13,eegmmidb,Subject31_1,theta
2.164732849989529e-11,1.100502035682944e-11,2.8358826259554547e-12,3.1770971137598933e-13,eegmmidb,Subject31_2,theta
2.7607642081804293e-11,3.3360166292705e-11,1.3318855982537331e-11,9.62995938402384e-13,eegmmidb,Subject32_1,alpha
3.2159991002924655e-11,3.5832591153050305e-11,1.487738363922062e-11,1.3258445981627781e-12,eegmmidb,Subject32_2,alpha
5.001571229206214e-12,1.3352384100191332e-11,2.5620342351608174e-12,1.971971047457653e-13,eegmmidb,Subject33_1,alpha
3.617262244903968e-12,7.417084014087298e-12,2.318612180850296e-12,2.332561377111143e-13,eegmmidb,Subject33_2,alpha
2.1664836998059518e-11,1.8722040591132662e-11,4.563528216670881e-12,2.904120536801548e-13,eegmmidb,Subject34_1,theta
2.371077015978201e-11,1.6128610713238088e-11,5.623761696451399e-12,2.753820059762784e-13,eegmmidb,Subject34_2,theta
4.426831365696442e-12,1.7141413882614616e-12,6.992455849160887e-13,1.9004230520036865e-13,eegmmidb,Subject35_2,theta
